"","x"
"1",3.63336891727522
"2",-2.58297568890266
"3",-0.982911077421159
"4",-0.431706740325317
"5",2.77116929887515
"6",-1.95210476124315
"7",-0.741592978170663
"8",-0.148318595634133
"9",1.08323889472509
"10",-0.896254834906902
"11",-0.17925096698138
"12",-0.035850193396276
"13",-0.00717003867925514
"14",-0.00143400773585112
"15",-0.000286801547170312
"16",-5.73603094341513e-05
"17",-1.14720618868969e-05
"18",-2.29441237720174e-06
"19",-4.58882475462552e-07
"20",-9.17764951813282e-08
"21",-1.83552989474478e-08
"22",-3.67105990051186e-09
"23",-7.34211913488991e-10
"24",-1.46842538129022e-10
"25",-2.93685076258043e-11
"26",-5.87363491177939e-12
"27",-1.17439391544849e-12
"28",-2.34701147405758e-13
"29",-4.71844785465692e-14
"30",-9.10382880192628e-15
"31",-1.99840144432528e-15
"32",-2.22044604925031e-16
"33",-2.22044604925031e-16
"34",-2.22044604925031e-16
"35",-1.11022302462516e-16
"36",-1.11022302462516e-16
"37",-1.11022302462516e-16
"38",-1.11022302462516e-16
"39",-1.11022302462516e-16
"40",-1.11022302462516e-16
"41",-1.11022302462516e-16
"42",-1.11022302462516e-16
"43",-1.11022302462516e-16
"44",-1.11022302462516e-16
"45",-1.11022302462516e-16
"46",-1.11022302462516e-16
"47",-1.11022302462516e-16
"48",-1.11022302462516e-16
"49",-1.11022302462516e-16
"50",-1.11022302462516e-16
"51",-1.11022302462516e-16
"52",-1.11022302462516e-16
