"","x"
"1",6.48261955194175
"2",-5.88429335560649
"3",-0.799337346516552
"4",2.60576903407648
"5",-2.21626478121206
"6",-0.345023264881817
"7",2.0045494488925
"8",-0.839887002983531
"9",-0.387464825091108
"10",-0.109855630724143
"11",-1.34512714102888
"12",2.58018837267022
"13",-1.0780292448545
"14",-0.463749939433688
"15",-0.22810565326366
"16",-0.973751806618431
"17",1.8520019699124
"18",-0.0969580790064589
"19",-0.0891510081647456
"20",-0.787306959607585
"21",-0.201460602622807
"22",-1.13606367693575
"23",1.63384583910747
"24",-0.505921455973443
"25",-0.260993420870327
"26",-1.14234132496205
"27",1.23826902968861
"28",-0.033602482773336
"29",-0.0930208014935127
"30",-0.256110485534247
"31",-0.731836711695245
